Candidate,Form,ParameterCount,CalibrationRMS_kW,CalibrationMaxAbs_kW,AltitudeHoldoutRMS_kW,AltitudeHoldoutMaxAbs_kW,TemperatureHoldoutRMS_kW,TemperatureHoldoutMaxAbs_kW,RPMHoldoutRMS_kW,RPMHoldoutMaxAbs_kW,PassesGate
J linear,j-linear,2,0.841161994932252,4.18409759045251,0.856137175408497,4.22757934432375,0.88865690623928,4.44658925668115,0.861696276876732,4.31080616693828,0
J quadratic,j-quadratic,3,0.829237019837713,4.13307646462598,0.856574419678665,4.17804273353886,0.94809407281309,4.52401640990301,0.863871655890939,4.28703776503227,0
J cubic,j-cubic,4,0.759873761331504,4.05121626075565,0.780565197646366,4.05671672338838,0.828061539955436,4.35480974251134,0.790072218117967,4.16170176364769,0
J quadratic + RPM + density,j2-rpm-density,5,0.331748743483424,0.951471767714555,0.41266936335097,1.24328688752708,0.390447925389637,1.15020196650972,0.363289220291535,1.0016078786108,1
