Altitude_ft,DeltaISA_C,RPM,POH_KTAS,POH_PercentMCP,POH_FuelFlow_GPH,Density_kgpm3,AdvanceRatio,LiftCoefficient,EnginePower_kW,CurrentPolarPowerRequired_kW,CurrentPolarEtaImplied,ExternalPolarPowerRequired_kW,ExternalPolarEtaImplied,HaberkornPowerRequired_kW,HaberkornEtaImplied,CurrentProxyEta,CurrentProxyPowerMargin_kW
6000,-20,2400,109,62,8.6,1.10384081019071,0.726201771653543,0.403465052408753,83.2201056685814,56.2352265948696,0.675740869866505,63.3538420311531,0.761280480506185,55.8534633221132,0.671153477556805,0.849641207181134,14.4720044471254
6000,-20,2500,115,70,9.6,1.10384081019071,0.735529133858268,0.362462630447516,93.9581838193661,62.945021574087,0.669925907626081,71.1209431063573,0.756942505860764,64.3029367667225,0.684378243095295,0.849960331326717,16.9157074758779
6000,-20,2600,120,78,10.6,1.10384081019071,0.737989097516657,0.332886686643639,104.696261970151,69.2128588010673,0.661082425471887,78.3652349301203,0.748500791293413,72.1558093058897,0.689191838830517,0.849991868267655,19.778112511581
6000,-20,2650,122,83,11.1,1.10384081019071,0.736132521170703,0.322061830668395,111.407560814391,71.8966574357206,0.645348097652931,81.4646887843092,0.731231239502965,75.5100510573483,0.677782104781475,0.849970219335815,22.7964514653556
8000,-20,2200,94,46,6.8,1.03919728096675,0.683198997852541,0.576250952151794,61.743949367012,42.5388183718715,0.688955254854474,47.3473858826397,0.766834424555551,37.7524197944181,0.611435131400716,0.845408236596657,9.66002498300745
8000,-20,2300,101,52,7.5,1.03919728096675,0.702159192057515,0.499142575552715,69.7975079801005,47.5516433315341,0.681279958377471,53.2063600680379,0.762295984596001,44.2955074810523,0.634628782071719,0.847670835450445,11.6136685703168
8000,-20,2400,108,58,8.2,1.03919728096675,0.71953937007874,0.436535786455183,77.851066593189,53.634564665119,0.688938084116259,60.2805456561469,0.774305970284815,52.0843329621545,0.669025297165436,0.849240995679721,12.4797526432091
8000,-20,2500,114,65,9.1,1.03919728096675,0.729133228346457,0.391793891444541,87.2468849751256,59.7273538965515,0.684578640413121,67.3443850893175,0.771882974486912,59.7983202890106,0.68539203784822,0.849773751690419,14.4127588720635
8000,-20,2600,120,74,10,1.03919728096675,0.737989097516657,0.353593987028698,99.3272228947584,66.6592150142907,0.671107205774988,75.3647618789097,0.75875233075591,68.5136025835049,0.689776685452065,0.849991868267655,17.7681167438628
8000,-20,2650,122,78,10.5,1.03919728096675,0.736132521170703,0.342095768154612,104.696261970151,69.1612600359948,0.660589582994978,78.2566588010439,0.747463732977927,71.6485619138032,0.684346896112016,0.849970219335815,19.8274447144141
8000,-20,2700,125,83,11.1,1.03919728096675,0.740266841644794,0.325872218445648,111.407560814391,73.0976419136975,0.656128196141738,82.8038254963212,0.743251399555145,76.5720469514695,0.687314634587873,0.84999973657298,21.5987554307732
10000,-20,2300,100,49,7.2,0.977492201081215,0.695207120849024,0.541317495578129,65.7707286735562,45.9325841727296,0.698374263127135,51.2449199618233,0.779144780593358,41.6500456788604,0.633261125714215,0.846886026796382,9.76772691312133
10000,-20,2400,106,55,7.9,0.977492201081215,0.706214566929134,0.481770643981959,73.8242872866448,50.539746116425,0.684595110552025,56.6191050663989,0.766944147344876,47.6174998386577,0.645011304393209,0.848093657992154,12.0701637371692
10000,-20,2500,113,62,8.7,0.977492201081215,0.722737322834646,0.423931001314222,83.2201056685814,56.8875136277913,0.683578964130881,63.9945044902046,0.768978890090076,55.7176524246565,0.66952152940719,0.849449492549193,13.8037629022754
10000,-20,2600,119,69,9.5,0.977492201081215,0.731839188370685,0.382259371215401,92.615924050518,63.187877946182,0.682257166831438,71.2948505150721,0.769790413970106,63.6784951782271,0.687554498117335,0.849870466725923,15.5236606528843
10000,-20,2650,122,73,10,0.977492201081215,0.736132521170703,0.363690873137684,97.9849631259103,66.6439452932287,0.680144617777643,75.2937686886618,0.768421666821567,68.0241916446227,0.694230925588162,0.849970219335815,16.640355306513
10000,-20,2700,124,78,10.5,0.977492201081215,0.734344706911636,0.352053522098159,104.696261970151,69.0635727192719,0.659656528510656,78.0915909481309,0.745887097386486,71.0600063018339,0.678725342859837,0.849936935465739,19.9216473343562
12000,-20,2300,98,47,6.9,0.918631657754861,0.681302978432044,0.599752139104086,63.0862091358601,44.0149792353481,0.6976957379157,48.9151846336674,0.775370485938147,38.5193601109392,0.610582893449587,0.845166648533375,9.30338070868236
12000,-20,2400,105,52,7.5,0.918631657754861,0.699552165354331,0.522450752286226,69.7975079801005,48.7170261134216,0.697976582879018,54.421866533645,0.779710739087717,44.7048561713331,0.640493585875281,0.847384599771051,10.4283072513126
12000,-20,2500,111,58,8.3,0.918631657754861,0.709945511811024,0.467496107779859,77.851066593189,53.5395551440636,0.687717683096556,60.0406008923655,0.771223870394838,50.9228696831349,0.654106255849166,0.848455295950209,12.5135946023
12000,-20,2600,118,65,9.1,0.918631657754861,0.725689279224712,0.413675635159124,87.2468849751256,60.1156799054274,0.689029527215402,67.6758407776993,0.775682029186416,59.2922960736669,0.679592126304238,0.849615185615698,14.0105984671054
12000,-20,2650,121,69,9.5,0.918631657754861,0.730098648046353,0.393417085168748,92.615924050518,63.2551182355297,0.682983179016027,71.3137496556989,0.769994473270065,63.2597883893283,0.683033603970985,0.849811151118439,15.4509267937389
2000,0,2100,90,44,6.6,1.15489729407052,0.685275590551181,0.565635921659487,59.0594298293158,40.8934710156429,0.692412221618575,45.5481761605249,0.771226141060978,36.5269578599,0.618477996917078,0.845671129428053,9.05138371149145
2000,0,2200,97,50,7.3,1.15489729407052,0.705003221188261,0.48694345471802,67.1129884424043,46.0676268657089,0.686418947134856,51.5901633912251,0.768706096816106,43.2565527611947,0.64453325302772,0.847970422201512,10.8422022790018
2000,0,2300,104,57,8.1,1.15489729407052,0.723015405682985,0.423599386597804,76.5088068243409,52.3761873883479,0.68457723446923,58.9209800842113,0.770120232295478,51.3106708110595,0.67065051646754,0.849466225301086,12.615459947015
2000,0,2400,110,64,9,1.15489729407052,0.732864173228347,0.378648840119161,85.9046252062775,58.7178172630696,0.683523350716846,66.2683639069021,0.771417880559701,59.3207258862859,0.690541699516675,0.849900401810934,14.2925582171633
2000,0,2500,115,73,9.9,1.15489729407052,0.735529133858268,0.346438636328306,97.9849631259103,64.6842999263753,0.660145167817803,73.168699894995,0.746733963669237,66.8112291091655,0.681851857445854,0.849960331326717,18.5990317971596
2000,0,2550,118,77,10.5,1.15489729407052,0.739918480778138,0.329047038598237,103.354002201303,68.5701701760935,0.663449587975697,77.6581815569936,0.751380497155192,71.6737572298401,0.693478295017943,0.849999986498934,19.2807302996246
4000,0,2100,89,42,6.4,1.08790576620045,0.677661417322835,0.614036338043919,56.3749102916196,39.8240854452605,0.706415056613943,44.2171906547227,0.784341658833572,34.562942832334,0.613090870629234,0.8446832332271,7.79485605275254
4000,0,2200,96,48,7,1.08790576620045,0.697735146743021,0.527754105213312,64.4284689047082,44.4086230922782,0.68927019138015,49.5907869299556,0.769703017517025,40.6140323437256,0.630374010653506,0.847179159098796,10.1738330164354
4000,0,2300,102,54,7.7,1.08790576620045,0.709111263266005,0.467491525725287,72.4820275177967,49.1987017773823,0.678771047971891,55.1726769861685,0.761191137659909,46.7943132650897,0.645598845225462,0.848376888874904,12.2933752275112
4000,0,2400,109,61,8.5,1.08790576620045,0.726201771653543,0.409374786099308,81.8778458997333,55.8210025221864,0.681759539577339,62.8604909691788,0.767735035996881,55.218401851891,0.67439978720875,0.849641207181134,13.7457893094538
4000,0,2500,115,69,9.5,1.08790576620045,0.735529133858268,0.367771783262449,92.615924050518,62.4131912141636,0.673892657812494,70.4934892361734,0.761137892418179,63.5273164641089,0.685922179316135,0.849960331326717,16.3066702779447
4000,0,2550,117,73,9.9,1.08790576620045,0.733647985178323,0.355305853871421,97.9849631259103,64.8038194287155,0.661364941735425,73.2582179385173,0.747647553271829,66.528294815825,0.678964329764929,0.849920740972033,18.4756330353755
4000,0,2600,120,77,10.4,1.08790576620045,0.737989097516657,0.33776262733652,103.354002201303,68.5748441264593,0.66349481070792,77.61656714514,0.750977857576973,71.2523808472251,0.689401274548099,0.849991868267655,19.2752172975653
6000,0,2200,94,45,6.7,1.02392843616201,0.683198997852541,0.584844019837233,60.4016895981639,42.4122909050774,0.702170604617766,47.179842802374,0.781101375081538,37.4462636855086,0.619953910803297,0.845408236596657,8.65179498556502
6000,0,2300,101,51,7.4,1.02392843616201,0.702159192057515,0.506585801321614,68.4552482112524,47.316913861387,0.691209441171952,52.9161285790365,0.773003238783646,43.8646333353547,0.640778238068596,0.847670835450445,10.7106035808129
6000,0,2400,108,57,8.2,1.02392843616201,0.71953937007874,0.443045418319769,76.5088068243409,53.2803889172407,0.696395501756666,59.8545155795445,0.782321905986149,51.5133797579379,0.673300001609085,0.849240995679721,11.69402636853
6000,0,2500,114,65,9,1.02392843616201,0.729133228346457,0.39763633112356,87.2468849751256,59.2608218632096,0.679231377488206,66.7903735541301,0.765533045370872,59.0939813722413,0.677319097284552,0.849773751690419,14.8792909054054
6000,0,2600,119,73,9.9,1.02392843616201,0.731839188370685,0.364923505351443,97.9849631259103,64.8766261743279,0.662107981721253,73.2906627115236,0.747978673190348,66.1641733501502,0.675248234416637,0.849870466725923,18.3979001696119
6000,0,2650,122,77,10.4,1.02392843616201,0.736132521170703,0.347197108255965,103.354002201303,68.5291630860543,0.663052824530007,77.5137583869116,0.749983133076337,70.7456776443303,0.684498675789437,0.849970219335815,19.3186608342213
